benchmark_id,granularity,semantic_label_mode,rollback_split_condition,method_id,compiler,compiler_id,opt_level,profile_condition,status,error_message,classifier_source_bytes,generated_classifier_source_size_bytes,generated_scanner_source_size_bytes,compiled_instruction_count,classifier_instruction_count,transition_instruction_count,binary_size_bytes
BM1,binary,binary,off,B3,gcc,gcc_O2,-O2,same_B,completed,,911,911,32055,5,5,8,29488
BM1,binary,binary,off,B3,gcc,gcc_O3,-O3,same_B,completed,,911,911,32055,5,5,8,29416
BM1,binary,binary,off,B3,gcc,gcc_Os,-Os,same_B,completed,,911,911,32055,4,4,7,29448
BM1,binary,binary,off,B3,clang,clang_O2,-O2,same_B,completed,,911,911,32055,4,4,8,29416
BM1,binary,binary,off,B3,clang,clang_O3,-O3,same_B,completed,,911,911,32055,4,4,8,29416
BM1,binary,binary,off,B3,clang,clang_Os,-Os,same_B,completed,,911,911,32055,4,4,6,25312
BM1,binary,binary,off,B4,gcc,gcc_O2,-O2,same_B,completed,,911,911,32048,5,5,8,29488
BM1,binary,binary,off,B4,gcc,gcc_O3,-O3,same_B,completed,,911,911,32048,5,5,8,29416
BM1,binary,binary,off,B4,gcc,gcc_Os,-Os,same_B,completed,,911,911,32048,4,4,7,29448
BM1,binary,binary,off,B4,clang,clang_O2,-O2,same_B,completed,,911,911,32048,4,4,8,29416
BM1,binary,binary,off,B4,clang,clang_O3,-O3,same_B,completed,,911,911,32048,4,4,8,29416
BM1,binary,binary,off,B4,clang,clang_Os,-Os,same_B,completed,,911,911,32048,4,4,6,25312
BM1,binary,binary,off,B5_TREE,gcc,gcc_O2,-O2,same_B,completed,,942,942,27896,5,5,8,29488
BM1,binary,binary,off,B5_TREE,gcc,gcc_O3,-O3,same_B,completed,,942,942,27896,5,5,8,29416
BM1,binary,binary,off,B5_TREE,gcc,gcc_Os,-Os,same_B,completed,,942,942,27896,4,4,7,29448
BM1,binary,binary,off,B5_TREE,clang,clang_O2,-O2,same_B,completed,,942,942,27896,4,4,8,29416
BM1,binary,binary,off,B5_TREE,clang,clang_O3,-O3,same_B,completed,,942,942,27896,4,4,8,29416
BM1,binary,binary,off,B5_TREE,clang,clang_Os,-Os,same_B,completed,,942,942,27896,4,4,6,25312
BM1,binary,binary,off,B5_DAG,gcc,gcc_O2,-O2,same_B,completed,,998,998,27955,4,4,8,29520
BM1,binary,binary,off,B5_DAG,gcc,gcc_O3,-O3,same_B,completed,,998,998,27955,4,4,8,29456
BM1,binary,binary,off,B5_DAG,gcc,gcc_Os,-Os,same_B,completed,,998,998,27955,1,1,7,29480
BM1,binary,binary,off,B5_DAG,clang,clang_O2,-O2,same_B,completed,,998,998,27955,3,3,8,29448
BM1,binary,binary,off,B5_DAG,clang,clang_O3,-O3,same_B,completed,,998,998,27955,3,3,8,29448
BM1,binary,binary,off,B5_DAG,clang,clang_Os,-Os,same_B,completed,,998,998,27955,1,1,6,25352
BM1,binary,binary,off,B1,gcc,gcc_O2,-O2,A_to_B,completed,,1002,1002,27956,5,5,8,29528
BM1,binary,binary,off,B1,gcc,gcc_O3,-O3,A_to_B,completed,,1002,1002,27956,5,5,8,29456
BM1,binary,binary,off,B1,gcc,gcc_Os,-Os,A_to_B,completed,,1002,1002,27956,4,4,7,29488
BM1,binary,binary,off,B1,clang,clang_O2,-O2,A_to_B,completed,,1002,1002,27956,4,4,8,29456
BM1,binary,binary,off,B1,clang,clang_O3,-O3,A_to_B,completed,,1002,1002,27956,4,4,8,29456
BM1,binary,binary,off,B1,clang,clang_Os,-Os,A_to_B,completed,,1002,1002,27956,4,4,6,25352
BM1,binary,binary,off,B2,gcc,gcc_O2,-O2,A_to_B,completed,,951,951,27909,5,5,8,29528
BM1,binary,binary,off,B2,gcc,gcc_O3,-O3,A_to_B,completed,,951,951,27909,5,5,8,29456
BM1,binary,binary,off,B2,gcc,gcc_Os,-Os,A_to_B,completed,,951,951,27909,4,4,7,29488
BM1,binary,binary,off,B2,clang,clang_O2,-O2,A_to_B,completed,,951,951,27909,4,4,8,29456
BM1,binary,binary,off,B2,clang,clang_O3,-O3,A_to_B,completed,,951,951,27909,4,4,8,29456
BM1,binary,binary,off,B2,clang,clang_Os,-Os,A_to_B,completed,,951,951,27909,4,4,6,25352
BM1,binary,binary,off,B3,gcc,gcc_O2,-O2,A_to_B,completed,,911,911,32055,5,5,8,29488
BM1,binary,binary,off,B3,gcc,gcc_O3,-O3,A_to_B,completed,,911,911,32055,5,5,8,29416
BM1,binary,binary,off,B3,gcc,gcc_Os,-Os,A_to_B,completed,,911,911,32055,4,4,7,29448
BM1,binary,binary,off,B3,clang,clang_O2,-O2,A_to_B,completed,,911,911,32055,4,4,8,29416
BM1,binary,binary,off,B3,clang,clang_O3,-O3,A_to_B,completed,,911,911,32055,4,4,8,29416
BM1,binary,binary,off,B3,clang,clang_Os,-Os,A_to_B,completed,,911,911,32055,4,4,6,25312
BM1,binary,binary,off,B4,gcc,gcc_O2,-O2,A_to_B,completed,,911,911,32048,5,5,8,29488
BM1,binary,binary,off,B4,gcc,gcc_O3,-O3,A_to_B,completed,,911,911,32048,5,5,8,29416
BM1,binary,binary,off,B4,gcc,gcc_Os,-Os,A_to_B,completed,,911,911,32048,4,4,7,29448
BM1,binary,binary,off,B4,clang,clang_O2,-O2,A_to_B,completed,,911,911,32048,4,4,8,29416
BM1,binary,binary,off,B4,clang,clang_O3,-O3,A_to_B,completed,,911,911,32048,4,4,8,29416
BM1,binary,binary,off,B4,clang,clang_Os,-Os,A_to_B,completed,,911,911,32048,4,4,6,25312
BM1,binary,binary,off,B5_TREE,gcc,gcc_O2,-O2,A_to_B,completed,,942,942,27896,5,5,8,29488
BM1,binary,binary,off,B5_TREE,gcc,gcc_O3,-O3,A_to_B,completed,,942,942,27896,5,5,8,29416
BM1,binary,binary,off,B5_TREE,gcc,gcc_Os,-Os,A_to_B,completed,,942,942,27896,4,4,7,29448
BM1,binary,binary,off,B5_TREE,clang,clang_O2,-O2,A_to_B,completed,,942,942,27896,4,4,8,29416
BM1,binary,binary,off,B5_TREE,clang,clang_O3,-O3,A_to_B,completed,,942,942,27896,4,4,8,29416
BM1,binary,binary,off,B5_TREE,clang,clang_Os,-Os,A_to_B,completed,,942,942,27896,4,4,6,25312
BM1,binary,binary,off,B5_DAG,gcc,gcc_O2,-O2,A_to_B,completed,,998,998,27955,4,4,8,29520
BM1,binary,binary,off,B5_DAG,gcc,gcc_O3,-O3,A_to_B,completed,,998,998,27955,4,4,8,29456
BM1,binary,binary,off,B5_DAG,gcc,gcc_Os,-Os,A_to_B,completed,,998,998,27955,1,1,7,29480
BM1,binary,binary,off,B5_DAG,clang,clang_O2,-O2,A_to_B,completed,,998,998,27955,3,3,8,29448
BM1,binary,binary,off,B5_DAG,clang,clang_O3,-O3,A_to_B,completed,,998,998,27955,3,3,8,29448
BM1,binary,binary,off,B5_DAG,clang,clang_Os,-Os,A_to_B,completed,,998,998,27955,1,1,6,25352
BM1,binary,binary,off,B1,gcc,gcc_O2,-O2,B_to_A,completed,,1002,1002,27956,5,5,8,29528
BM1,binary,binary,off,B1,gcc,gcc_O3,-O3,B_to_A,completed,,1002,1002,27956,5,5,8,29456
BM1,binary,binary,off,B1,gcc,gcc_Os,-Os,B_to_A,completed,,1002,1002,27956,4,4,7,29488
BM1,binary,binary,off,B1,clang,clang_O2,-O2,B_to_A,completed,,1002,1002,27956,4,4,8,29456
BM1,binary,binary,off,B1,clang,clang_O3,-O3,B_to_A,completed,,1002,1002,27956,4,4,8,29456
BM1,binary,binary,off,B1,clang,clang_Os,-Os,B_to_A,completed,,1002,1002,27956,4,4,6,25352
BM1,binary,binary,off,B2,gcc,gcc_O2,-O2,B_to_A,completed,,951,951,27909,5,5,8,29528
BM1,binary,binary,off,B2,gcc,gcc_O3,-O3,B_to_A,completed,,951,951,27909,5,5,8,29456
BM1,binary,binary,off,B2,gcc,gcc_Os,-Os,B_to_A,completed,,951,951,27909,4,4,7,29488
BM1,binary,binary,off,B2,clang,clang_O2,-O2,B_to_A,completed,,951,951,27909,4,4,8,29456
BM1,binary,binary,off,B2,clang,clang_O3,-O3,B_to_A,completed,,951,951,27909,4,4,8,29456
BM1,binary,binary,off,B2,clang,clang_Os,-Os,B_to_A,completed,,951,951,27909,4,4,6,25352
BM1,binary,binary,off,B3,gcc,gcc_O2,-O2,B_to_A,completed,,911,911,32055,5,5,8,29488
BM1,binary,binary,off,B3,gcc,gcc_O3,-O3,B_to_A,completed,,911,911,32055,5,5,8,29416
BM1,binary,binary,off,B3,gcc,gcc_Os,-Os,B_to_A,completed,,911,911,32055,4,4,7,29448
BM1,binary,binary,off,B3,clang,clang_O2,-O2,B_to_A,completed,,911,911,32055,4,4,8,29416
BM1,binary,binary,off,B3,clang,clang_O3,-O3,B_to_A,completed,,911,911,32055,4,4,8,29416
BM1,binary,binary,off,B3,clang,clang_Os,-Os,B_to_A,completed,,911,911,32055,4,4,6,25312
BM1,binary,binary,off,B4,gcc,gcc_O2,-O2,B_to_A,completed,,911,911,32048,5,5,8,29488
BM1,binary,binary,off,B4,gcc,gcc_O3,-O3,B_to_A,completed,,911,911,32048,5,5,8,29416
BM1,binary,binary,off,B4,gcc,gcc_Os,-Os,B_to_A,completed,,911,911,32048,4,4,7,29448
BM1,binary,binary,off,B4,clang,clang_O2,-O2,B_to_A,completed,,911,911,32048,4,4,8,29416
BM1,binary,binary,off,B4,clang,clang_O3,-O3,B_to_A,completed,,911,911,32048,4,4,8,29416
BM1,binary,binary,off,B4,clang,clang_Os,-Os,B_to_A,completed,,911,911,32048,4,4,6,25312
BM1,binary,binary,off,B5_TREE,gcc,gcc_O2,-O2,B_to_A,completed,,942,942,27896,5,5,8,29488
BM1,binary,binary,off,B5_TREE,gcc,gcc_O3,-O3,B_to_A,completed,,942,942,27896,5,5,8,29416
BM1,binary,binary,off,B5_TREE,gcc,gcc_Os,-Os,B_to_A,completed,,942,942,27896,4,4,7,29448
BM1,binary,binary,off,B5_TREE,clang,clang_O2,-O2,B_to_A,completed,,942,942,27896,4,4,8,29416
BM1,binary,binary,off,B5_TREE,clang,clang_O3,-O3,B_to_A,completed,,942,942,27896,4,4,8,29416
BM1,binary,binary,off,B5_TREE,clang,clang_Os,-Os,B_to_A,completed,,942,942,27896,4,4,6,25312
BM1,binary,binary,off,B5_DAG,gcc,gcc_O2,-O2,B_to_A,completed,,998,998,27955,4,4,8,29520
BM1,binary,binary,off,B5_DAG,gcc,gcc_O3,-O3,B_to_A,completed,,998,998,27955,4,4,8,29456
BM1,binary,binary,off,B5_DAG,gcc,gcc_Os,-Os,B_to_A,completed,,998,998,27955,1,1,7,29480
BM1,binary,binary,off,B5_DAG,clang,clang_O2,-O2,B_to_A,completed,,998,998,27955,3,3,8,29448
BM1,binary,binary,off,B5_DAG,clang,clang_O3,-O3,B_to_A,completed,,998,998,27955,3,3,8,29448
BM1,binary,binary,off,B5_DAG,clang,clang_Os,-Os,B_to_A,completed,,998,998,27955,1,1,6,25352
BM1,binary,binary,off,B1,gcc,gcc_O2,-O2,uniform,completed,,1002,1002,27956,5,5,8,29528
BM1,binary,binary,off,B1,gcc,gcc_O3,-O3,uniform,completed,,1002,1002,27956,5,5,8,29456
BM1,binary,binary,off,B1,gcc,gcc_Os,-Os,uniform,completed,,1002,1002,27956,4,4,7,29488
BM1,binary,binary,off,B1,clang,clang_O2,-O2,uniform,completed,,1002,1002,27956,4,4,8,29456
BM1,binary,binary,off,B1,clang,clang_O3,-O3,uniform,completed,,1002,1002,27956,4,4,8,29456
BM1,binary,binary,off,B1,clang,clang_Os,-Os,uniform,completed,,1002,1002,27956,4,4,6,25352
BM1,binary,binary,off,B2,gcc,gcc_O2,-O2,uniform,completed,,951,951,27909,5,5,8,29528
BM1,binary,binary,off,B2,gcc,gcc_O3,-O3,uniform,completed,,951,951,27909,5,5,8,29456
BM1,binary,binary,off,B2,gcc,gcc_Os,-Os,uniform,completed,,951,951,27909,4,4,7,29488
BM1,binary,binary,off,B2,clang,clang_O2,-O2,uniform,completed,,951,951,27909,4,4,8,29456
BM1,binary,binary,off,B2,clang,clang_O3,-O3,uniform,completed,,951,951,27909,4,4,8,29456
BM1,binary,binary,off,B2,clang,clang_Os,-Os,uniform,completed,,951,951,27909,4,4,6,25352
BM1,binary,binary,off,B3,gcc,gcc_O2,-O2,uniform,completed,,911,911,32055,5,5,8,29488
BM1,binary,binary,off,B3,gcc,gcc_O3,-O3,uniform,completed,,911,911,32055,5,5,8,29416
BM1,binary,binary,off,B3,gcc,gcc_Os,-Os,uniform,completed,,911,911,32055,4,4,7,29448
BM1,binary,binary,off,B3,clang,clang_O2,-O2,uniform,completed,,911,911,32055,4,4,8,29416
BM1,binary,binary,off,B3,clang,clang_O3,-O3,uniform,completed,,911,911,32055,4,4,8,29416
BM1,binary,binary,off,B3,clang,clang_Os,-Os,uniform,completed,,911,911,32055,4,4,6,25312
BM1,binary,binary,off,B4,gcc,gcc_O2,-O2,uniform,completed,,911,911,32048,5,5,8,29488
BM1,binary,binary,off,B4,gcc,gcc_O3,-O3,uniform,completed,,911,911,32048,5,5,8,29416
BM1,binary,binary,off,B4,gcc,gcc_Os,-Os,uniform,completed,,911,911,32048,4,4,7,29448
BM1,binary,binary,off,B4,clang,clang_O2,-O2,uniform,completed,,911,911,32048,4,4,8,29416
BM1,binary,binary,off,B4,clang,clang_O3,-O3,uniform,completed,,911,911,32048,4,4,8,29416
BM1,binary,binary,off,B4,clang,clang_Os,-Os,uniform,completed,,911,911,32048,4,4,6,25312
BM1,binary,binary,off,B5_TREE,gcc,gcc_O2,-O2,uniform,completed,,942,942,27896,5,5,8,29488
BM1,binary,binary,off,B5_TREE,gcc,gcc_O3,-O3,uniform,completed,,942,942,27896,5,5,8,29416
BM1,binary,binary,off,B5_TREE,gcc,gcc_Os,-Os,uniform,completed,,942,942,27896,4,4,7,29448
BM1,binary,binary,off,B5_TREE,clang,clang_O2,-O2,uniform,completed,,942,942,27896,4,4,8,29416
BM1,binary,binary,off,B5_TREE,clang,clang_O3,-O3,uniform,completed,,942,942,27896,4,4,8,29416
BM1,binary,binary,off,B5_TREE,clang,clang_Os,-Os,uniform,completed,,942,942,27896,4,4,6,25312
BM1,binary,binary,off,B5_DAG,gcc,gcc_O2,-O2,uniform,completed,,998,998,27955,4,4,8,29520
BM1,binary,binary,off,B5_DAG,gcc,gcc_O3,-O3,uniform,completed,,998,998,27955,4,4,8,29456
BM1,binary,binary,off,B5_DAG,gcc,gcc_Os,-Os,uniform,completed,,998,998,27955,1,1,7,29480
BM1,binary,binary,off,B5_DAG,clang,clang_O2,-O2,uniform,completed,,998,998,27955,3,3,8,29448
BM1,binary,binary,off,B5_DAG,clang,clang_O3,-O3,uniform,completed,,998,998,27955,3,3,8,29448
BM1,binary,binary,off,B5_DAG,clang,clang_Os,-Os,uniform,completed,,998,998,27955,1,1,6,25352
BM1,coarse,coarse,off,B1,gcc,gcc_O2,-O2,same_A,completed,,1125,1125,28079,5,5,8,29528
BM1,coarse,coarse,off,B1,gcc,gcc_O3,-O3,same_A,completed,,1125,1125,28079,5,5,8,29456
BM1,coarse,coarse,off,B1,gcc,gcc_Os,-Os,same_A,completed,,1125,1125,28079,4,4,7,29488
BM1,coarse,coarse,off,B1,clang,clang_O2,-O2,same_A,completed,,1125,1125,28079,4,4,8,29456
BM1,coarse,coarse,off,B1,clang,clang_O3,-O3,same_A,completed,,1125,1125,28079,4,4,8,29456
BM1,coarse,coarse,off,B1,clang,clang_Os,-Os,same_A,completed,,1125,1125,28079,4,4,6,25352
